Gamma_TP10,Beta_TP10,Gamma_AF8,Gamma_TP9,Delta_TP9,Delta_AF8,Delta_TP10,Beta_TP9,Beta_AF8,Beta_AF7,Gamma_AF7,Theta_TP9,Theta_TP10,Theta_AF7,Delta_AF7,Alpha_TP10,Alpha_AF7,Class
0.111789278,0.667245769,-0.271270453,-0.049161827,1.266832822,0.652478396,1.182860383,0.692702528,0.281656843,0.338914012,-0.068621528,0.60326533,0.722403383,0.138828048,0.746040944,1.040392913,0.660260299,2
0.266469367,0.685887881,-0.072521451,-0.024424171,1.502393317,1.076191421,1.193139291,0.514782021,0.337696576,0.364074963,0.046418136,0.730659235,0.79269427,0.697784921,1.415861209,1.105869054,0.942166678,2
0.306102216,0.714162777,0.009368236,0.138516311,1.571680627,1.236636489,1.31183966,0.569229943,0.340718746,0.430729617,0.137941908,0.791017299,0.866664807,0.833029742,1.581191897,1.099482741,0.950454309,2
0.42011234,0.666907612,-0.016533464,0.149274481,1.468229614,1.448305955,1.199808514,0.637554018,0.326612068,0.374140935,0.109641996,0.712084956,0.681798133,0.908861737,1.611045215,1.021592888,0.945061356,2
0.237799646,0.729645273,-0.294800248,0.065273639,1.104489733,1.245579004,0.944358227,0.601592058,0.206961137,0.232819824,-0.208048641,0.665074412,0.356849138,0.675877918,1.293891304,0.882441267,0.90325017,2
0.17132913,0.699823031,-0.388764325,-0.066063541,0.819932715,1.102306449,0.884825076,0.65467222,0.145350667,0.078216265,-0.61653489,0.817535353,0.49178125,0.427717945,0.835677292,1.067333378,0.728311786,2
0.042069911,0.731793394,-0.516501155,-0.102866126,0.837188304,0.692895225,0.763575843,0.592902252,0.101256897,0.074736236,-0.660987098,0.848217858,0.607737877,0.13234476,0.665378789,1.069286538,0.547361019,2
-0.021430618,0.700548214,-0.510724966,-0.055778757,0.909737972,0.577244852,0.728773349,0.658132602,0.083048211,0.032029627,-0.631054252,0.903098681,0.689683608,0.043680873,0.652246258,1.064675963,0.531622273,2
-0.118143982,0.711630535,-0.54461585,-0.085531122,0.761695301,0.347941215,0.687408931,0.471110427,0.09222554,0.027652495,-0.603001734,0.672619755,0.785693265,0.087746338,0.709137238,0.640574457,0.418988262,2
-0.056887699,0.60401526,-0.422503496,-0.265339205,0.06079269,0.38036618,0.761045004,0.63650924,0.241780057,0.271711328,-0.33236165,0.674471995,0.498319583,-0.028228045,-0.037792035,0.780368755,0.044116392,2
-0.045909089,0.646199122,-0.413590264,-0.255515338,0.530508894,0.365528636,1.054328617,0.762394166,0.254623011,0.244417413,-0.364695497,0.560844963,0.412303793,0.029981115,0.286946511,0.786686767,0.243921096,2
-0.045909089,0.646199122,-0.194979615,-0.255515338,0.530508894,0.992947707,1.054328617,0.762394166,0.42712824,0.244417413,-0.364695497,0.560844963,0.412303793,0.029981115,0.286946511,0.786686767,0.243921096,2
-0.049459764,0.658613223,-0.016583068,-0.190203395,0.80283985,1.164340148,1.229030862,0.845591032,0.438112403,0.201571555,-0.44528819,0.527521086,0.262392004,0.027770607,0.49676993,0.491386066,0.267127462,2
0.100555912,0.596816589,0.021075777,0.047439718,1.319497144,1.23229665,1.930527416,0.585856153,0.44213227,0.210968651,-0.724700406,0.767511208,0.68326937,-0.090265127,0.530561493,0.527042003,0.132538196,2
0.100555912,0.596816589,-0.003792,0.047439718,1.319497144,1.086184192,1.930527416,0.585856153,0.238277052,0.210968651,-0.724700406,0.767511208,0.68326937,-0.090265127,0.530561493,0.527042003,0.132538196,2
0.100555912,0.596816589,0.085107763,0.047439718,1.319497144,1.066041802,1.930527416,0.585856153,0.598509252,0.210968651,-0.724700406,0.767511208,0.68326937,-0.090265127,0.530561493,0.527042003,0.132538196,2
0.100555912,0.596816589,0.153944982,0.047439718,1.319497144,1.121208138,1.930527416,0.585856153,0.673010267,0.210968651,-0.724700406,0.767511208,0.68326937,-0.090265127,0.530561493,0.527042003,0.132538196,2
