TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,emotion
33:24.5,0.4932871,0.12186582,0.39656863,0.38911444,0.59686196,-0.005720987,0.014032819,0.43536782,1.6105621,0.7148713,0.38501942,1.0192008,0.5596814,0.21548681,0.118668735,0.34767354,0.19403963,0.030519418,-0.15949409,0.22053917,822.7839,796.1905,796.5934,812.3077,888.0586,78.00002,56.000042,-0.143249512,0.186035156,0.969665527,2.721557617,-4.052429199,-1.009368896,1,1,1,1,1,35,sad
33:25.5,0.87158155,0.55729914,-0.23216237,0.45534462,0.5912777,0.29966295,-0.12206133,0.3253818,1.5826142,0.80935335,0.3187372,0.6875608,0.5158681,0.2870762,0.07030688,0.5614744,0.31546363,0.039535902,-0.10466326,0.48385957,771.2088,800.2198,800.6227,794.57874,785.31134,98,42.000042,-0.145202637,0.188232422,0.971313477,3.551483154,-3.835601807,-2.071075439,1,1,1,1,1,35,sad
33:26.6,0.48709223,0.38229772,-0.1678954,0.15826519,0.2387962,0.0877281,-0.3182253,0.14698401,1.0314031,0.61054397,0.28884345,0.6380571,0.35092297,0.1261266,0.12730879,0.42919892,0.04178689,-0.08319329,-0.033102892,0.2900971,845.34796,798.60803,784.10254,807.0696,861.8681,100,60.00004,-0.147766113,0.188049316,0.967285156,3.484191895,-4.575805664,-1.457977295,1,1,1,1,1,35,sad
33:27.6,-0.004514824,0.40355232,0.46239305,0.15100205,0.28234655,0.090389825,0.3006128,0.25564292,0.62853897,0.46701774,0.46060225,0.6114455,0.45033118,0.20218007,0.3335591,0.6131555,0.022429196,-0.13830628,-0.07159561,0.12652239,753.0769,790.14655,793.7729,785.7143,608.8278,100,48.000046,-0.145141602,0.192443848,0.970153809,4.059906006,-3.813171387,-1.256103516,1,1,1,1,1,35,sad
33:28.6,0.012853102,-0.017377494,0.19555934,0.25792614,-0.0480962,-0.05565145,0.06125292,-0.16310164,0.698091,0.44684914,0.50502336,0.610185,0.41829562,0.2839972,0.24046281,0.58171314,0.16698268,-0.09250985,-0.1262655,0.15407863,751.4652,784.90845,781.28204,790.14655,598.7546,100,56.000042,-0.142822266,0.193054199,0.969543457,3.476715088,-3.932800293,-1.585083008,1,1,1,1,1,35,sad
33:29.7,-0.27363592,0.2051342,-0.1612393,0.28809044,-0.059695236,0.21376598,-0.042460095,0.09617433,0.6552697,0.28928348,0.17587952,0.696839,0.44547665,0.24593632,0.35780367,0.50728863,0.26339316,0.12958047,-0.005055952,0.29050416,739.3773,791.3553,776.4469,780.87915,546.3736,100,78.00002,-0.155761719,0.192382813,0.965942383,3.775787354,-4.381408691,-2.145843506,1,1,1,1,1,35,sad
33:30.7,0.1719463,0.750526,0.2184007,0.23428139,0.21342887,0.19156648,-0.15656766,0.08121012,0.70497,0.3951573,0.24308623,0.6212916,0.39408273,0.22060907,0.20347962,0.475666,0.25106552,0.14673524,0.13758293,0.36789286,870.32965,792.5641,795.78754,819.15753,971.06226,100,98,-0.156494141,0.198852539,0.968811035,3.581390381,-3.970184326,-1.128997803,1,1,1,1,1,35,sad
33:31.7,0.36002305,0.9652616,0.2187277,0.18852362,0.48305756,0.28317642,-0.15023857,0.06352251,0.7581974,0.2608804,0.30903605,0.7352795,0.40986925,0.30463722,0.15808034,0.5151372,0.15523787,0.082345106,-0.058346022,0.25145006,745.82416,798.60803,790.14655,784.90845,616.4835,100,100,-0.152404785,0.196533203,0.965209961,3.327178955,-3.095397949,-1.794433594,1,1,1,1,1,35,sad
33:32.7,0.23257765,0.42945606,0.256471,0.21081966,0.56952626,0.11603374,0.020671297,0.0130802,0.75912654,0.1973348,0.32155433,0.6865063,0.35445547,0.19261901,0.22021277,0.46084324,0.19817981,-0.018485095,0.05078818,0.17569967,804.2491,808.2784,798.20514,807.0696,754.68866,100,100,-0.153564453,0.198791504,0.971923828,3.566436768,-3.633728027,-1.742095947,1,1,1,1,1,35,sad
33:33.7,-0.050166324,0.53863126,0.112969324,-0.021801636,0.10053212,0.19021343,-0.025199609,-0.10641069,0.37770936,0.30897927,0.2292448,0.54107845,0.33925438,0.18249947,-0.062895626,0.33965433,0.21958035,-0.057447486,0.052958474,0.19287905,772.8205,793.36993,792.5641,792.96704,911.02563,100,100,-0.15435791,0.200073242,0.969909668,3.76083374,-3.394470215,-1.667327881,1,1,1,1,1,35,sad
